LAMMPS (17 Apr 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (200 200 200)
  1 by 2 by 5 MPI processor grid
  reading atom labelmap ...
  reading atoms ...
  1000 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     6 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.003 seconds
1000 atoms in group swi6
1000 atoms in group atoms_mobile
1000 atoms in group typeSwi6
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 10
  ghost atom cutoff = 10
  binsize = 5, bins = 40 40 40
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair morse, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 145.7 | 145.8 | 145.9 Mbytes
   Step          Temp     
         0   1            
     10000   0.97816358   
     20000   1.0591402    
     30000   1.0156627    
     40000   0.98781525   
     50000   0.97048277   
     60000   1.0156606    
     70000   0.9756903    
     80000   1.0204268    
     90000   1.0051418    
    100000   1.0137346    
    110000   1.0457386    
    120000   0.9928085    
    130000   1.0296616    
    140000   0.97611528   
    150000   1.0223705    
    160000   1.0308315    
    170000   1.0252578    
    180000   0.98985011   
    190000   1.0297274    
    200000   1.0357196    
    210000   0.94152971   
    220000   0.99242484   
    230000   1.0211568    
    240000   0.98620577   
    250000   0.99797095   
    260000   1.0899614    
    270000   1.0026609    
    280000   1.0025066    
    290000   0.99617647   
    300000   1.0118728    
    310000   1.0258889    
    320000   1.005557     
    330000   0.94712679   
    340000   1.002584     
    350000   1.0124655    
    360000   1.0144103    
    370000   1.027223     
    380000   1.0086021    
    390000   0.99002366   
    400000   1.0339428    
    410000   1.0179226    
    420000   0.96873984   
    430000   0.97262836   
    440000   1.0071219    
    450000   0.95107581   
    460000   1.0189612    
    470000   1.0008116    
    480000   1.0061016    
    490000   1.0032967    
    500000   1.0357354    
    510000   0.9609522    
    520000   1.0071283    
    530000   1.0145078    
    540000   0.97023303   
    550000   0.98249045   
    560000   1.0574019    
    570000   1.0269304    
    580000   0.99221222   
    590000   0.9841954    
    600000   1.0165729    
    610000   0.97758321   
    620000   0.98756325   
    630000   1.0256009    
    640000   1.0295475    
    650000   1.00642      
    660000   1.0117759    
    670000   1.0577342    
    680000   1.0422811    
    690000   0.9869957    
    700000   1.0088648    
    710000   1.0269713    
    720000   0.99584919   
    730000   1.005416     
    740000   0.97935649   
    750000   0.98178078   
    760000   1.0024123    
    770000   1.0089804    
    780000   0.98830067   
    790000   1.0232989    
    800000   1.0616202    
    810000   1.0375106    
    820000   0.97749515   
    830000   0.9870417    
    840000   0.97047196   
    850000   1.0024395    
    860000   0.98776882   
    870000   1.0126229    
    880000   0.98694884   
    890000   0.96638447   
    900000   1.0281636    
    910000   1.0456154    
    920000   1.0058348    
    930000   0.98829779   
    940000   0.97737693   
    950000   0.9606111    
    960000   1.0043338    
    970000   1.0127686    
    980000   1.0108528    
    990000   0.97701501   
   1000000   1.0055956    
   1010000   1.0084588    
   1020000   0.96168802   
   1030000   1.0634547    
   1040000   0.97842308   
   1050000   0.98672155   
   1060000   1.0006511    
   1070000   0.97941394   
   1080000   0.97094999   
   1090000   1.0185499    
   1100000   0.99789523   
   1110000   0.99205108   
   1120000   1.014053     
   1130000   1.0447808    
   1140000   0.99321842   
   1150000   1.0457442    
   1160000   1.0218467    
   1170000   0.98041876   
   1180000   1.0094041    
   1190000   0.97766638   
   1200000   0.98215594   
   1210000   1.0405795    
   1220000   0.9598972    
   1230000   0.94507133   
   1240000   0.94959017   
   1250000   1.0254937    
   1260000   1.0166539    
   1270000   0.99891472   
   1280000   1.0104804    
   1290000   0.97981576   
   1300000   0.94269904   
   1310000   0.9858629    
   1320000   1.0135851    
   1330000   1.0278801    
   1340000   0.9651481    
   1350000   1.0140234    
   1360000   0.98097293   
   1370000   1.0227816    
   1380000   1.0154185    
   1390000   1.0426646    
   1400000   1.0052833    
   1410000   0.99262622   
   1420000   1.0460203    
   1430000   1.0335055    
   1440000   0.98833734   
   1450000   1.0662035    
   1460000   1.0564501    
   1470000   1.0665063    
   1480000   0.99091544   
   1490000   1.028675     
